Date,Equity,Peak,Drawdown
2016-10-24,195152.66988511244,224998.2020595636,0.13264786963297678
2016-10-25,195310.59530443244,224998.2020595636,0.13194597327169744
2016-10-26,193682.8369981186,224998.2020595636,0.1391805124431834
2016-10-27,191882.13601930666,224998.2020595636,0.14718369185674712
2016-10-28,191913.36654011288,224998.2020595636,0.14704488843289598
2016-10-31,192946.29304899173,224998.2020595636,0.14245406726444323
2016-11-01,192847.5152626007,224998.2020595636,0.14289308315651192
2016-11-02,192759.58527710623,224998.2020595636,0.1432838862148901
2016-11-03,192895.25910979017,224998.2020595636,0.14268088658448408
2016-11-04,192499.97125715928,224998.2020595636,0.1444377355237758
2016-11-07,193297.31393388667,224998.2020595636,0.14089396197612625
2016-11-08,193215.78188531403,224998.2020595636,0.14125632953207257
2016-11-09,190087.50401719427,224998.2020595636,0.1551598978249944
2016-11-10,186965.62621203007,224998.2020595636,0.16903502116637
2016-11-11,184272.71076564046,224998.2020595636,0.18100362990074878
2016-11-14,182954.06950811605,224998.2020595636,0.18686430454371913
2016-11-15,184684.56812187427,224998.2020595636,0.17917313813475333
2016-11-16,184054.93504998833,224998.2020595636,0.18197152970465244
2016-11-17,183549.98149515345,224998.2020595636,0.1842157856596454
2016-11-18,182458.66261542516,224998.2020595636,0.18906613055013205
2016-11-21,183327.91851245804,224998.2020595636,0.18520274013600435
2016-11-22,184283.12331656239,224998.2020595636,0.18095735152684794
2016-11-23,182190.16120911462,224998.2020595636,0.1902594796696039
2016-11-25,182093.14772456334,224998.2020595636,0.19069065415750316
2016-11-28,183245.69070872568,224998.2020595636,0.18556819996181484
2016-11-29,183115.56391138546,224998.2020595636,0.18614654590480054
2016-11-30,181928.45312903897,224998.2020595636,0.19142263598676582
2016-12-01,180687.2335951767,224998.2020595636,0.19693921133048212
2016-12-02,180755.01020243278,224998.2020595636,0.19663797955780266
2016-12-05,182642.4669384112,224998.2020595636,0.18824921592013252
2016-12-06,183818.21358921306,224998.2020595636,0.1830236334930756
2016-12-07,186250.81887894726,224998.2020595636,0.17221196803323244
2016-12-08,187651.1410287205,224998.2020595636,0.16598826430157976
2016-12-09,187818.94939883417,224998.2020595636,0.16524244336355626
